Gene,s1,s2,s3,s4,s5,s6,s7,s8,s9,s10,s11,s12,s13,s14,s15,s16,s17,s18,s19,s20,s21,s22,s23,s24,s25,s26,s27,s28,s29,s30
5S_rRNA,0,2,0,0,42,0,0,43,31,6,10,38,170,3,368,2,38,7,8,23,0,2,8,14,2,2,11,13,140,4
7SK,640,732,221,195,56,420,108,176,202,710,260,157,55,98,365,27,14,171,411,749,0,6,515,1122,346,641,874,492,153,273
A1BG,8,4,0,2,2,0,0,0,1,0,3,6,0,3,0,1,0,0,6,3,0,0,5,3,2,1,6,6,9,0
A1BG-AS1,161,177,133,20,17,314,28,0,117,147,158,68,3,3,9,1,1,245,118,174,218,266,134,131,82,114,209,123,180,125
A1CF,0,3,1,2,2,2,0,0,1,1,4,0,0,0,0,1,0,3,0,2,2,1,1,1,0,1,1,5,1,4
A2M,17,5,1,0,0,29,0,1,8,17,0,8,0,2,2,0,0,40,3,10,0,2,5,1,2,3,7,2,4,24
A2M-AS1,87,77,38,13,0,0,5,12,26,97,162,33,1,22,25,9,0,133,49,33,0,1,207,85,16,117,85,34,30,30
A2ML1,2,2,0,1,2,0,0,4,0,2,1,2,4,121,1,0,0,0,1,3,2,4,0,3,1,0,1,1,1,1
A2ML1-AS1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
A2ML1-AS2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
A2MP1,4,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,2,1,0,0,0,3,1,0
A3GALT2,18,20,8,2,0,35,0,0,55,64,10,78,0,0,8,0,7,4,39,21,0,1,15,77,24,50,122,30,7,44
A4GALT,0,1,117,0,0,0,2,0,3,1,0,0,1,1,2,0,0,1,1,4,0,2,0,0,4,1,1,2,8,3
A4GNT,0,0,1,0,1,0,0,0,0,1,0,0,0,5,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
AAAS,714,737,827,181,283,631,124,2,427,830,666,609,0,0,41,6,0,1292,518,710,511,693,841,445,400,855,1219,476,510,998
AACS,413,374,156,11,44,194,39,100,153,591,344,144,2,36,39,89,2,762,251,371,109,231,432,320,141,363,393,288,244,487
AACSP1,0,1,0,0,0,0,0,3,0,0,0,0,0,0,1,0,0,1,0,1,1,2,1,1,0,1,0,0,0,2
AADAC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0
AADACL2,7,0,0,2,1,2,0,0,0,3,1,0,0,0,0,1,0,6,0,0,1,0,0,1,2,2,0,0,0,1
AADACL3,3,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,2,0,0,0,0,3,0,0,0,1,0,2
AADACL4,0,0,0,1,0,0,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,3,0,1,0,0,1,0,0
AADAT,4,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,1,0,0,0,2,0,1,0,1,1,0
AAED1,227,213,95,37,30,133,8,7,82,135,51,70,2,0,0,0,0,74,184,252,0,230,216,126,95,64,115,151,63,174
AAGAB,818,733,169,167,77,215,57,0,341,989,262,360,0,51,4,1,47,397,720,886,146,0,798,856,489,345,471,383,358,508
AAK1,2222,1941,2691,7279,9210,2383,565,973,1570,3404,1319,3166,220,276,342,2464,5036,2425,1442,470,2,1969,1022,1005,763,1975,2397,1616,921,2077
AAMDC,57,44,27,20,79,40,3,0,53,62,27,70,0,0,5,4,0,184,66,91,0,489,45,51,63,46,56,52,51,85
AAMP,1601,1390,2079,240,397,1000,380,6,1157,2804,1237,1203,2,166,84,57,468,3078,1120,1952,358,1523,1608,1068,790,1271,1731,1108,1766,4179
AANAT,2,1,0,1,1,0,0,0,0,0,0,4,0,0,0,1,0,0,6,1,0,1,0,1,0,6,0,1,0,3
AAR2,464,651,496,4,135,288,94,34,319,1005,372,329,1,72,17,24,0,899,399,699,185,778,680,589,484,359,559,403,567,2397
AARD,1,4,0,2,7,0,0,2,7,0,2,1,3,0,2,3,0,1,5,4,0,0,1,0,0,1,7,0,1,0
