,T2D_1,T2D_2,T2D_3,T2D_4,T2D_5,HV_1,HV_2,HV_3,HV_4,HV_5
113374764;113378090;113378090;113381457;113381457;113381457;113381457;113381457;113381457;113381457;113381457;113381457;113381457;113381457;113381457;113381457;113381457;113381457;113381457;113381457;113381457;113381457;113381457;113381457;113381457;113381457;113381457;113381457;113381457;113381457;113381457;113381457;113381457;113381457;113381457;113381457;113381457;113381457;113381457;113381457;113381457;113381457;113381457;113381457;113381457;113381457;113381457;113381457;113381457;113381457;113381457;113381457;113381457;113381457;113381457;113381457;113381457;113381457;113381457;113381457;113381457;113381457;113381457;113381457;113381457;113381457;113381457;113381457;113381457;113381457;113381457;113381457;113381457;113381457;113381457;113381457;113381457;113381457;113381457;113381457,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
113374946;113378181;113378181;113381943;113381516;113383729;113381567;113383732;113384221;113384221;113381647;113384221;113383725;113383725;113384221;113383724;113383724;113384221;113384221;113384221;113384221;113381471;113384221;113382112;113383736;113384221;113384221;113383725;113384221;113384221;113384206;113383725;113384221;113384221;113384221;113383725;113384221;113383735;113384221;113384221;113384221;113384221;113384221;113384221;113384221;113384221;113384221;113384216;113384206;113384206;113383952;113383740;113383725;113383725;113383725;113383724;113383724;113383724;113383724;113383724;113383724;113383723;113384221;113384221;113384221;113384221;113383725;113383725;113383724;113384221;113384221;113384221;113384206;113383732;113383725;113383724;113383724;113383724;113384221;113383725,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5S_rRNA,0.0,1.0,0.0,0.0,2.0,3.0,0.0,0.0,0.0,0.0
5_8S_rRNA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7SK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A1BG,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0
A1BG-AS1,8.0,0.0,2.0,6.0,9.0,17.0,8.0,2.0,3.0,3.0
A1CF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A2M,7.0,13.0,6.0,8.0,17.0,16.0,37.0,0.0,0.0,12.0
A2M-AS1,1.0,0.0,0.0,0.0,1.0,3.0,1.0,0.0,0.0,4.0
A2ML1,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
A2ML1-AS1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A2ML1-AS2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A2MP1,4.0,3.0,3.0,2.0,9.0,11.0,13.0,0.0,2.0,2.0
A3GALT2,2.0,4.0,2.0,11.0,0.0,3.0,10.0,3.0,0.0,1.0
A4GALT,0.0,1.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0
A4GNT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AA06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AAAS,176.0,46.0,79.0,67.0,117.0,227.0,145.0,132.0,126.0,104.0
AACS,108.0,51.0,61.0,71.0,77.0,112.0,42.0,63.0,47.0,55.0
AACSP1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
AADAC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AADACL2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AADACL2-AS1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AADACL3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AADACL4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AADACP1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AADAT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AAGAB,238.0,171.0,117.0,276.0,293.0,292.0,92.0,30.0,9.0,53.0
AAK1,726.0,569.0,251.0,813.0,718.0,774.0,766.0,32.0,25.0,407.0
AAMDC,10.0,12.0,8.0,8.0,6.0,5.0,14.0,19.0,7.0,7.0
AAMP,332.0,162.0,221.0,201.0,267.0,522.0,413.0,735.0,338.0,319.0
AANAT,9.0,2.0,4.0,24.0,10.0,16.0,11.0,6.0,5.0,10.0
AAR2,376.0,201.0,117.0,223.0,278.0,291.0,198.0,148.0,95.0,140.0
AARD,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AARS1,64.0,49.0,70.0,78.0,103.0,258.0,174.0,56.0,30.0,101.0
AARS1P1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
AARS2,73.0,30.0,26.0,41.0,69.0,99.0,39.0,9.0,27.0,30.0
AARSD1,7.0,3.0,1.0,1.0,7.0,8.0,0.0,0.0,0.0,0.0
AARSD1P1,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
AASDH,53.0,20.0,15.0,35.0,36.0,64.0,24.0,3.0,1.0,14.0
AASDHPPT,141.0,89.0,71.0,120.0,133.0,155.0,48.0,4.0,3.0,16.0
AASS,10.0,3.0,0.0,7.0,13.0,26.0,5.0,0.0,3.0,4.0
AATBC,24.0,2.0,19.0,9.0,13.0,51.0,40.0,15.0,3.0,33.0
AATF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AATK,281.0,187.0,159.0,210.0,115.0,874.0,769.0,1006.0,494.0,400.0
ABALON,21.0,27.0,14.0,26.0,17.0,12.0,44.0,46.0,30.0,43.0
ABAT,52.0,33.0,50.0,27.0,63.0,255.0,131.0,23.0,4.0,63.0
ABCA1,251.0,180.0,194.0,413.0,633.0,688.0,347.0,49.0,8.0,53.0
ABCA10,0.0,3.0,3.0,0.0,3.0,2.0,3.0,0.0,0.0,0.0
ABCA11P,2.0,0.0,1.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0
ABCA12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ABCA13,8.0,6.0,4.0,17.0,16.0,2.0,25.0,0.0,0.0,2.0
ABCA15P,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
ABCA17P,2.0,1.0,0.0,0.0,1.0,2.0,1.0,0.0,0.0,1.0
ABCA2,349.0,397.0,201.0,443.0,655.0,974.0,869.0,695.0,510.0,654.0
