,case_sample_1,case_sample_2,case_sample_3,case_sample_4,case_sample_5,case_sample_6,case_sample_7,case_sample_8,case_sample_9,case_sample_10,case_sample_11,case_sample_12,case_sample_13,case_sample_14,case_sample_15,case_sample_16,case_sample_17,case_sample_18,case_sample_19,case_sample_20,case_sample_21,case_sample_22,case_sample_23,case_sample_24,case_sample_25,control_sample_1,control_sample_2,control_sample_3,control_sample_4,control_sample_5,control_sample_6,control_sample_7,control_sample_8,control_sample_9,control_sample_10,control_sample_11,control_sample_12,control_sample_13,control_sample_14,control_sample_15,control_sample_16,control_sample_17,control_sample_18,control_sample_19,control_sample_20,control_sample_21,control_sample_22,control_sample_23,control_sample_24,control_sample_25,control_sample_26,control_sample_27,control_sample_28,control_sample_29,control_sample_30,control_sample_31,control_sample_32,control_sample_33
DDX11L1,1.0,3.28986718306358,5.61312120804011,3.6099190920262,4.46725800010337,3.7342782362978,1.29496776596412,11.5323335809735,1.0,1.12371825365687,1.75641318913566,2.12832366898638,1.0,3.43989148184978,2.65489578823039,2.18781921416693,1.0,16.2327913796146,2.96612745826523,1.05726303870232,1.68647463515833,1.21086020220872,2.72273418383108,1.62296155047663,1.41054622121357,1.0,6.55833646784936,8.55800761263612,2.9457494089497,1.0,1.0,2.70277426641549,3.45284653848307,1.69101425371809,6.94849962603835,1.72971524239947,1.19961835528857,1.0,4.60965253363328,8.09761909288994,5.80464997920049,3.60857236251248,12.455281813274,6.12201461988281,1.51667710349802,1.12996369298582,4.22713414065469,1.0,1.45951664411132,1.13004608817262,1.78737054471947,3.85576338595607,4.19466965937087,1.0,3.37732262195778,6.76063448027796,2.5113916998739,2.82802833285911
WASH7P,33.6391226308886,23.029070281445,45.7068441226124,30.0826591002184,43.5557655010078,35.1022154211993,62.1584527662779,92.2586686477876,22.85565521012,52.8147579218729,39.5192967555523,22.347398524357,1.0,42.9986435231222,44.2482631371731,31.0670328411704,39.3460824786199,45.0910871655962,15.5721691558925,45.4623106642,52.2807136899084,25.428064246383,50.8243714315134,28.4018271333411,46.5480253000478,19.9992094826828,36.0708505731715,27.6489476715936,23.5659952715976,37.0870384658308,43.1772756103765,47.9742432288749,18.4151815385764,44.5300420145762,27.7939985041534,18.1620100451944,29.9904588822142,43.2722122747418,33.0358431577052,21.5936509143732,73.5255664032062,48.3548696576672,34.5980050368722,44.6032493734319,54.6003757259288,37.288801868532,16.3801447950369,25.4136576890574,22.3792552097069,28.2511522043154,38.4284667114686,27.9542845481815,40.5484733739184,34.4416171980785,44.5806586098427,28.3946648171674,38.0894407814208,42.4204249928867
LOC729737,102.262932797901,10.9662239435453,134.714908992963,55.3520927444018,45.7893945010595,166.548809338882,46.6188395747084,415.164008915044,21.1832901947453,25.845519834108,28.9808176207384,23.4115603588502,410.667361173167,55.8982365800589,25.6639926195604,51.1949696115062,61.8295581806884,61.3238785452109,44.4919118739785,70.8366235930558,19.3944583043208,56.9104295038097,93.4805403115336,46.2544041885841,126.949159909221,25.7884543329331,108.212551719514,19.7492483368526,15.7106635143984,13.0895429879403,10.1593589671474,72.2992116266143,27.6227723078646,16.3464711192748,38.9115979058148,61.4048911051812,130.758400726454,87.6399235944137,33.0358431577052,18.8944445500765,242.827857463221,212.184054915734,58.1246484619453,32.3592201336663,61.4254226916699,10.1696732368724,1.05678353516367,27.446750304182,18.4872108254101,24.8610139397975,28.5979287155115,53.016746556896,74.1058306488853,34.4416171980785,34.4486907439693,39.2116799856122,39.3451366313578,93.3249349843507
LOC100133331,4.03669471570663,1.09662239435453,11.2262424160802,1.20330636400873,13.4017740003101,12.6965460034125,3.23741941491031,34.5970007429204,1.11491001024975,5.61859126828435,3.51282637827132,1.0,28.3218869774598,6.01981009323711,1.76993052548692,1.0,16.8626067765514,7.2145739464954,2.22459559369892,4.2290521548093,3.37294927031667,4.23801070773051,6.35304642893918,3.24592310095327,12.6949159909221,2.63147493193195,3.27916823392468,3.94984966737052,1.0,1.0,1.0,5.40554853283098,4.6037953846441,2.25468567162411,4.16909977562301,1.0,11.9961835528857,12.0504894942319,3.07310168908885,2.69920636429665,9.67441663200082,2.16514341750749,1.38392020147489,1.74914703425223,5.30836986224308,1.12996369298582,1.0,1.0165463075623,1.0,3.39013826451785,1.78737054471947,5.78364507893411,12.5840089781126,4.78355794417756,5.40371619513245,6.76063448027796,1.25569584993695,8.48408499857733
LOC101928626,1.0,1.0,1.60374891658289,1.20330636400873,2.23362900005168,1.49371129451912,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,10.8218609197431,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,8.33819955124602,1.0,1.0,1.0,1.0,1.0,1.0,1.0,8.30352120884933,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.79644643958058,1.0,1.0,1.0,1.0,2.82802833285911
MIR6723,868.562146329544,1.0,4.00937229145722,2.40661272801747,3.35044350007753,5.22798953081691,3.88490329789237,1.0,1.0,1.0,4.39103297283915,1.06416183449319,1.0,2.57991861138733,1.76993052548692,3.0629468998337,5.62086892551713,9.01821743311925,3.70765932283154,1.05726303870232,2.5297119527375,6.05430101104358,8.16820255149323,5.68036542666822,7.05273110606785,1.57888495915917,3.27916823392468,1.0,1.0,2.18159049799005,1.0,1.0,1.15094884616102,1.12734283581206,6.94849962603835,1.0,11.9961835528857,2.73874761232543,1.0,2.69920636429665,3.86976665280033,1.0,8.30352120884933,1.0,1.51667710349802,1.0,1.0,2.03309261512459,3.40553883625975,1.13004608817262,1.78737054471947,2.89182253946705,6.99111609895144,1.0,1.0,6.76063448027796,3.34852226649854,1.0
LOC100288069,22.2018209363865,30.7054270419267,27.2637315819091,26.4727400081922,42.438951000982,38.0896380102375,37.5540652129596,242.179005200443,58.5327755381121,29.2166745950786,24.5897846478992,81.9404612559758,198.253208842219,24.9392132434109,63.7174989175293,27.1289582556699,106.796509584825,182.167992149009,28.1782108535197,33.8324172384744,40.4753912438,26.6389244485918,46.2864811251283,28.4018271333411,26.8003782030578,18.4203245235236,55.7458599767195,23.040789726328,23.5659952715976,28.3606764738706,15.2390384507211,37.163146163213,112.79298692378,18.0374853729929,94.4995949141216,24.2160133935926,49.1843525668312,36.1514684826957,16.9020592899887,22.9432540965215,49.3395248232042,54.8502999101896,134.240259543064,124.189439431908,31.0918806217095,15.8194917018015,29.5899389845828,121.985556907476,18.9737163734472,31.6412904688332,19.6610759919142,27.9542845481815,64.3182681103533,27.7446360762299,36.475084317144,31.0989186092786,22.1839600155528,45.2484533257458
FAM87B,26.9112981047109,14.2560911266088,23.2543592904519,22.862820916166,31.2708060007236,20.9119581232677,50.5037428726008,11.5323335809735,9.47673508712291,28.0929563414217,33.3718505935775,24.4757221933434,42.4828304661897,24.9392132434109,16.8143399921258,21.8781921416693,22.4834757020685,18.0364348662385,24.4705515306882,10.5726303870232,45.534815149275,19.3737632353395,12.7060928578784,17.0410962800047,21.1581933182036,16.8414395643645,16.3958411696234,23.040789726328,35.3489929073964,26.1790859758806,15.2390384507211,29.7305169305704,16.1132838462543,23.6741995520532,27.7939985041534,19.8917252875939,22.7927487504828,23.0054799435336,23.0482626681664,18.8944445500765,29.0232498960025,23.0948631200799,16.6070424176987,27.1117790309096,26.5418493112154,19.7743646272518,15.8517530274551,10.165463075623,20.9197385655956,24.8610139397975,18.7673907195544,24.0985211622254,6.99111609895144,25.8312128985588,22.9657938293129,12.1691420645003,28.4624392652376,8.48408499857733
LINC00115,18.8379086732976,12.0628463378998,17.6412380824118,13.2363700040961,15.6354030003618,22.4056694177868,24.6043875533183,23.0646671619469,14.4938301332468,23.5980833267943,14.0513055130853,14.8982656829047,14.1609434887299,18.0594302797113,6.19475683920423,7.43858532816756,5.62086892551713,21.6437218394862,18.5382966141577,9.51536734832092,10.11884781095,14.5303224265046,18.1515612255405,21.9099809314346,19.74764709699,20.5255044690692,6.55833646784936,9.21631589053121,7.85533175719921,10.9079524899502,11.0059722144097,13.5138713320774,10.3585396154492,5.63671417906028,26.4042985789457,17.2971524239947,21.5931303951942,12.598239016697,15.3655084454443,6.74801591074162,15.4790666112013,10.1040026150349,8.30352120884933,7.87116165413504,10.6167397244862,6.21480031142201,8.45426828130937,17.281287228559,11.6761331528906,9.04036870538092,8.93685272359735,1.92788169297804,13.9822321979029,15.3073854213682,12.158361439048,13.5212689605559,18.8354377490543,2.82802833285911
LINC01128,127.155883544759,160.106869575761,114.668047535677,92.6545900286726,116.148708002688,109.787780147155,161.870970745515,161.452670133628,98.6695359071032,130.351317424197,142.269468319988,97.9028887733736,198.253208842219,104.056717325956,169.028365184001,78.7614917100095,73.0712960317227,158.720626822899,97.1406742581863,66.6075714382465,153.469191799408,99.2905365811147,122.523038272398,106.30398155622,97.3276892637364,122.100436841642,78.7000376141923,96.7713168505777,146.305553977835,100.353162907542,157.470063990785,112.165132056243,112.79298692378,122.316697685608,165.374291099713,137.512361770758,129.558782371165,115.027399717668,141.362677698087,99.870635478976,188.651124324016,80.110306447777,134.240259543064,135.558895154548,116.025798417599,87.572186206401,109.37709588944,88.4395287579198,162.006347496357,150.296129726958,81.3253597847358,125.312310043572,118.848973682175,104.281563183071,123.610007963655,77.0712330751687,156.961981242119,144.229444975815
