Gene,HC1,HC2,HC3,HC4,HC5,T2DM1,T2DM2,T2DM3,T2DM4,T2DM5
A1BG,3.62,2.41,4.89,4.4,9.7,6.42,2.87,2.54,6.42,1.88
A1BG-AS1,3.59,1.3,4.44,3.52,6.91,5.07,3.87,3.0,5.95,5.53
A1CF,0.0,0.0,0.0,0.04,0.0,0.0,0.0,0.0,0.0,0.0
A2M,0.13,2.03,1.03,0.56,0.7,0.48,2.89,2.26,0.56,1.73
A2ML1,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.0,0.0
A3GALT2,0.12,0.07,0.0,0.07,0.0,0.18,0.04,0.0,0.03,0.04
A4GALT,0.06,0.11,0.0,0.18,0.0,0.0,0.07,0.97,0.02,0.0
A4GNT,0.0,0.0,0.0,0.02,0.0,0.0,0.02,0.0,0.0,0.0
AAAS,11.59,20.71,27.87,19.76,39.11,28.85,22.73,24.1,20.36,24.2
AACS,3.11,2.77,2.6,3.02,3.98,3.14,3.11,2.87,3.54,3.64
AADAC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AADACL2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AADAT,0.0,0.0,0.05,0.01,0.0,0.0,0.02,0.02,0.0,0.02
AAED1,1.76,4.08,5.11,6.35,5.06,3.78,2.64,5.0,4.17,3.95
AAGAB,8.68,9.56,12.41,8.15,10.67,9.27,10.62,9.46,9.78,8.78
AAK1,10.91,20.87,26.16,12.76,19.23,17.52,12.59,12.65,16.27,25.38
AAMDC,1.46,3.32,4.56,2.67,3.47,2.23,1.85,3.22,1.9,2.87
AAMP,26.15,31.74,43.42,32.93,51.36,38.57,29.6,22.87,33.1,34.17
AANAT,0.51,0.1,0.3,0.21,0.31,0.42,0.4,0.04,0.26,0.49
AAR2,7.31,10.57,14.73,12.2,17.56,13.02,11.65,10.15,11.59,10.8
AARD,0.17,0.01,0.03,0.04,0.0,0.0,0.0,0.02,0.03,0.19
AARS,5.64,10.09,17.46,15.84,17.4,12.98,12.62,9.57,10.76,11.51
AARS2,2.08,2.93,4.58,2.21,5.4,4.58,4.17,3.0,3.44,3.95
AARSD1,3.21,5.41,7.66,4.67,9.92,6.01,6.03,8.19,5.99,6.05
AASDH,0.39,2.08,1.7,1.04,1.24,1.17,2.3,2.12,1.2,0.95
AASDHPPT,0.8,2.09,1.98,2.81,1.32,1.63,2.06,3.11,2.7,2.77
AASS,1.24,0.71,0.48,0.48,0.8,1.99,0.93,1.58,1.01,2.04
AATF,36.97,37.27,44.77,36.58,36.63,32.29,22.36,36.4,30.55,30.96
AATK,41.65,25.74,1.68,5.7,3.75,28.23,9.68,12.73,29.5,29.92
AB015752.3,0.0,0.0,0.0,0.0,0.0,0.08,0.0,0.0,0.0,0.0
AB015752.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AB019438.55,0.02,0.0,0.04,0.02,0.02,0.0,0.0,0.02,0.0,0.05
AB019438.63,0.0,0.23,0.0,0.0,0.07,0.0,0.0,0.04,0.04,0.08
AB019439.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AB019441.29,0.0,0.0,0.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ABALON,1.56,1.9,1.2,1.41,1.9,2.52,3.94,2.18,1.83,2.18
ABAT,11.71,10.52,6.2,5.73,6.48,7.04,7.22,8.5,5.47,10.32
ABC11-48400900C8.1,0.12,0.61,0.07,0.39,0.87,0.63,0.0,0.26,0.45,0.22
ABC12-47964100C23.1,0.0,0.0,0.0,0.0,0.0,0.04,0.04,0.0,0.0,0.0
ABC12-49244600F4.3,7.92,9.6,6.65,2.51,3.91,18.9,8.75,6.46,6.89,7.91
ABC12-49244600F4.4,1.35,1.53,0.21,0.64,1.07,1.37,0.77,0.04,1.27,1.76
ABC13-47488600E17.1,1.02,0.79,2.89,1.25,1.26,1.08,0.88,0.65,1.88,2.06
ABC14-1080714F14.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ABC14-1188822O7.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ABC7-42389800N19.1,16.36,24.77,34.45,17.35,34.7,25.7,1.84,8.52,13.55,26.19
ABC7-42391500H16.4,0.0,0.0,0.0,0.0,0.0,0.27,0.0,0.0,0.0,0.0
ABC7-42404400C24.1,0.04,0.2,0.06,0.06,0.16,0.0,0.24,0.15,0.19,0.0
ABC7-42418200C9.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01
ABC7-43041300I9.1,0.0,0.0,0.0,0.0,0.0,0.0,0.48,0.46,0.21,3.03
ABC7-43046700E7.1,0.0,0.0,0.0,0.08,0.0,0.0,0.0,0.0,0.0,0.17
ABC7-481722F1.1,34.05,6.95,0.84,1.25,0.36,4.38,2.5,7.03,4.02,4.72
ABC7-481722F1.2,0.62,0.0,0.0,0.0,0.0,0.1,0.0,0.21,0.0,0.25
ABCA1,6.08,5.86,2.26,2.77,1.73,11.97,4.67,19.69,5.95,8.73
ABCA10,0.02,0.01,0.03,0.01,0.08,0.05,0.18,0.03,0.07,0.05
ABCA11,0.0,0.09,0.08,0.23,0.19,0.22,0.13,0.15,0.08,0.34
ABCA12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0
ABCA13,3.39,1.6,0.51,3.03,0.06,1.23,1.12,1.29,2.46,0.96
ABCA17P,0.0,0.0,0.0,0.0,0.03,0.05,0.0,0.2,0.1,0.03
ABCA2,36.87,27.39,33.71,14.7,30.14,32.1,25.16,31.76,25.86,32.12
