SYMBOL,K_O,K12,K21,K22,K24,K25,K4,K7,T2D_D,T2D102,T2D106,T2D11,T2D3,T2D61,T2D66,T2D78
5S_rRNA,0.0,0.0,0.0,3.0,0.0,2.561932,2.32931,0.0,5.68411,0.0,5.532170000000001,0.0,0.0,0.0,2.2,0.0
5_8S_rRNA,32.0,154.25,102.75,284.0,194.5,214.0,357.5,16.0,22.75,240.75,250.0,731.0,443.5,728.25,41.75,229.25
7SK,0.00144065,2.00155172,1.7609153100000001,1.75216545,2.0044109900000002,1.6722209399999999,66.27549,0.00659234,68.1822,3.01796e-05,0.00293074,0.00979636,4.007398500000001,1.0120740700000002,2.000192689,62.415966
A1BG,55.275800000000004,38.7602,41.67856999999999,39.80368,20.97165,39.58852,20.473894,39.831779999999995,18.88593,12.09917,22.23578,2.0,4.87754,3.384607,45.62195,47.17219
A1BG-AS1,10.01703,13.21613,22.26811,24.03757,25.904600000000002,6.539287,7.67384,23.858063,21.07422,3.0,17.106771,0.0,2.480159,2.91132,32.33302,17.20797
A1CF,6.24585,5.04466,10.02224,4.03866,2.00528,5.18096,2.46992,4.14294,5.04806,0.0,9.00262,0.0,0.0,1.268862,5.02146,8.38906
A2M,1191.7349,673.7105,2596.4123,393.48001999999997,438.40809115541,753.6946,407.5657,716.05224,1574.3706,416.555076,1107.47252732,36.26516,491.07466999999997,80.99998,917.80953,411.98920000000004
A2M-AS1,413.99982,224.84633,674.394,115.2312,134.0,286.00004,157.00020490824,238.4101,512.5501384,134.224,363.31032,21.7348145,149.2434,20.00002,325.9995,118.42754
A2ML1,8.359160000000001,17.83394,23.77269,8.3267,9.02363,11.8441,8.10109,10.90695,8.42577,12.05301,10.19876,0.0,5.12781,2.0,24.9394,15.604209999999998
A2ML1-AS1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A2ML1-AS2,1.11937,1.00173,0.0,2.02411,0.0,0.0,0.0,1.09548,2.00241,4.04395,0.0,0.0,0.0,0.0,1.00927,2.01264
A2MP1,96.8769,86.2957,311.1933,27.73212,48.16969,94.51259999999999,42.6293,55.535700000000006,190.1131,44.60251,114.9833,0.0,23.161189999999998,9.86748,82.2401,40.821200000000005
