gene,n_studies,z_meta,pvalue_meta,mean_log2FC,concordant_frac,effect_score,cohorts,padj_meta,biotype
H2AFY,3,-4.513280506070372,6.383250728147828e-06,-0.6603004090772617,1.0,-0.6603004090772617,"GSE153315,GSE184050,GSE185011",0.12620005852084665,
ENSG00000261799,3,-4.640061504638906,3.4830549860878493e-06,-0.6538389313768792,1.0,-0.6538389313768792,"GSE114192,GSE154881,GSE280402",0.12620005852084665,lncRNA
TPCN1,8,-3.4979416974763895,0.00046886361689246623,-0.3752873052160219,0.875,-0.2814654789120164,"GSE114192,GSE153315,GSE154881,GSE181143,GSE184050,GSE185011,GSE221521,GSE280402",0.39831528752653206,protein_coding
CEP41,8,-3.746601036223872,0.00017924682646266578,-0.34924985290984933,0.875,-0.261937389682387,"GSE114192,GSE153315,GSE154881,GSE181143,GSE184050,GSE185011,GSE221521,GSE280402",0.39831528752653206,protein_coding
BANF1P3,6,-3.740417063702789,0.00018371515999070863,-0.4036499542772634,0.8333333333333334,-0.26909996951817566,"GSE114192,GSE153315,GSE154881,GSE181143,GSE221521,GSE280402",0.39831528752653206,processed_pseudogene
TM9SF4,8,-3.8405429550286008,0.00012276248819237105,-0.3777503554907176,0.875,-0.2833127666180382,"GSE114192,GSE153315,GSE154881,GSE181143,GSE184050,GSE185011,GSE221521,GSE280402",0.39831528752653206,protein_coding
ENSG00000213600,3,-3.9605851420517375,7.47663284240269e-05,-0.8267657831664985,0.6666666666666666,-0.27558859438883276,"GSE114192,GSE154881,GSE280402",0.39831528752653206,lncRNA
APP,8,-3.4985069312389148,0.00046787092852672475,-0.26256770486667785,0.875,-0.19692577865000838,"GSE114192,GSE153315,GSE154881,GSE181143,GSE184050,GSE185011,GSE221521,GSE280402",0.39831528752653206,protein_coding
ACTBP11,5,-3.6166280638972466,0.0002984656853301105,-0.42154256789286093,1.0,-0.42154256789286093,"GSE114192,GSE153315,GSE154881,GSE181143,GSE221521",0.39831528752653206,processed_pseudogene
SCARNA20,7,3.6155707103128347,0.0002996866561155207,0.3700605341060533,1.0,0.3700605341060533,"GSE114192,GSE153315,GSE154881,GSE181143,GSE184050,GSE221521,GSE280402",0.39831528752653206,scaRNA
PTGES3P3,6,-3.6223369349805288,0.0002919535014065859,-0.22281506552699343,0.8333333333333334,-0.14854337701799564,"GSE114192,GSE153315,GSE154881,GSE181143,GSE221521,GSE280402",0.39831528752653206,processed_pseudogene
HBD,8,3.7028650669108507,0.00021317827835901312,0.5024145734385901,0.75,0.25120728671929504,"GSE114192,GSE153315,GSE154881,GSE181143,GSE184050,GSE185011,GSE221521,GSE280402",0.39831528752653206,protein_coding
GIMAP7,8,3.655620557812219,0.0002565606019932229,0.3593799856933903,0.75,0.17968999284669515,"GSE114192,GSE153315,GSE154881,GSE181143,GSE184050,GSE185011,GSE221521,GSE280402",0.39831528752653206,protein_coding
UBALD1,8,3.570539115879229,0.000356247247466758,0.24796017070986442,0.875,0.18597012803239832,"GSE114192,GSE153315,GSE154881,GSE181143,GSE184050,GSE185011,GSE221521,GSE280402",0.39831528752653206,protein_coding
SMG8,8,-3.7498789853161267,0.00017691992827792633,-0.41887634745061975,0.75,-0.20943817372530987,"GSE114192,GSE153315,GSE154881,GSE181143,GSE184050,GSE185011,GSE221521,GSE280402",0.39831528752653206,protein_coding
PIGT,8,-3.5256751563332824,0.0004224047449400231,-0.4059676352879139,1.0,-0.4059676352879139,"GSE114192,GSE153315,GSE154881,GSE181143,GSE184050,GSE185011,GSE221521,GSE280402",0.39831528752653206,protein_coding
PTTG2,8,3.5067275434719263,0.0004536533860686066,0.28327936810731824,1.0,0.28327936810731824,"GSE114192,GSE153315,GSE154881,GSE181143,GSE184050,GSE185011,GSE221521,GSE280402",0.39831528752653206,protein_coding
ARHGAP32,8,-3.4682699952764016,0.0005238207165064026,-0.26566373848731006,0.75,-0.13283186924365503,"GSE114192,GSE153315,GSE154881,GSE181143,GSE184050,GSE185011,GSE221521,GSE280402",0.39831528752653206,protein_coding
