gene,n_studies,z_meta,pvalue_meta,mean_log2FC,concordant_frac,effect_score,cohorts,padj_meta,biotype
ENSG00000261799,3,-4.640061504638906,3.4830549860878493e-06,-0.6538389313768792,1.0,-0.6538389313768792,"GSE114192,GSE154881,GSE280402",0.12620005852084615,lncRNA
GABPB1-AS1,8,3.5313182935318403,0.0004134938497902324,0.2631445914902292,1.0,0.2631445914902292,"GSE114192,GSE153315,GSE154881,GSE181143,GSE184050,GSE185011,GSE221521,GSE280402",0.39831528752653106,lncRNA
ENSG00000261804,3,-3.47756651058192,0.000505987500368964,-0.8401769053441442,1.0,-0.8401769053441442,"GSE114192,GSE154881,GSE280402",0.39831528752653106,lncRNA
ENSG00000213600,3,-3.9605851420517375,7.47663284240269e-05,-0.8267657831664985,0.6666666666666666,-0.27558859438883276,"GSE114192,GSE154881,GSE280402",0.39831528752653106,lncRNA
ENSG00000269903,3,-3.8266493301677382,0.00012989935946673245,-0.6209837187855439,1.0,-0.6209837187855439,"GSE114192,GSE154881,GSE280402",0.39831528752653106,lncRNA
ENSG00000259985,3,-3.806766195602989,0.0001407957347088454,-0.7851608700065814,1.0,-0.7851608700065814,"GSE114192,GSE154881,GSE280402",0.39831528752653106,lncRNA
ENSG00000262766,3,-3.6330312946396743,0.0002801110302256112,-0.8498949953174276,1.0,-0.8498949953174276,"GSE114192,GSE154881,GSE280402",0.39831528752653106,lncRNA
LINC02044,5,-3.7379280588895507,0.0001855430174850549,-0.33609156509424243,1.0,-0.33609156509424243,"GSE114192,GSE154881,GSE181143,GSE221521,GSE280402",0.39831528752653106,lncRNA
ENSG00000253358,3,3.4398220720170283,0.0005820967325599499,0.356915575848236,1.0,0.356915575848236,"GSE114192,GSE154881,GSE280402",0.41284021734165127,lncRNA
ENSG00000261786,3,-3.3809372794902246,0.0007223903021861566,-0.5875942520360082,1.0,-0.5875942520360082,"GSE114192,GSE154881,GSE280402",0.4346762245742743,lncRNA
CLN8-AS1,3,3.3778350773718575,0.0007305888320498925,0.39513668761177156,0.6666666666666666,0.13171222920392384,"GSE114192,GSE154881,GSE280402",0.4346762245742743,lncRNA
ENSG00000230730,3,-3.362345859570911,0.0007728325956140921,-0.8469912496182535,0.6666666666666666,-0.28233041653941776,"GSE114192,GSE154881,GSE280402",0.43655105233109737,lncRNA
EFHD2-AS1,3,-3.292402622296113,0.000993352910094074,-0.6316196261736184,1.0,-0.6316196261736184,"GSE114192,GSE154881,GSE280402",0.47848083904429095,lncRNA
LCT-AS1,5,-3.2892989244247324,0.0010043729202770834,-0.4095212138081963,1.0,-0.4095212138081963,"GSE114192,GSE154881,GSE181143,GSE221521,GSE280402",0.47848083904429095,lncRNA
LINC01160,6,3.2991780154988284,0.0009696839786289807,0.30658210557294574,1.0,0.30658210557294574,"GSE114192,GSE154881,GSE181143,GSE184050,GSE221521,GSE280402",0.47848083904429095,lncRNA
