gene,n_studies,z_meta,pvalue_meta,mean_log2FC,concordant_frac,effect_score,cohorts,padj_meta,biotype
SMG8,8,-3.749878985316126,0.00017691992827792682,-0.41887634745061975,0.75,-0.20943817372530987,"GSE114192,GSE153315,GSE154881,GSE181143,GSE184050,GSE185011,GSE221521,GSE280402",0.39831528752653106,protein_coding
SCD,8,-3.5348500750695764,0.0004080065823583432,-0.34742876022581487,0.75,-0.17371438011290743,"GSE114192,GSE153315,GSE154881,GSE181143,GSE184050,GSE185011,GSE221521,GSE280402",0.39831528752653106,protein_coding
C1orf146,7,3.4809659716722066,0.0004996089592813058,0.1909392402609202,0.5714285714285714,0.02727703432298859,"GSE114192,GSE153315,GSE154881,GSE181143,GSE184050,GSE221521,GSE280402",0.39831528752653106,protein_coding
ABHD16B,5,3.5184157424847804,0.00043413165238956184,0.30338240369956265,1.0,0.30338240369956265,"GSE114192,GSE153315,GSE181143,GSE184050,GSE280402",0.39831528752653106,protein_coding
PYM1,6,3.6704592307036874,0.0002421150864745975,0.18829532731072735,0.6666666666666666,0.06276510910357577,"GSE114192,GSE154881,GSE181143,GSE185011,GSE221521,GSE280402",0.39831528752653106,protein_coding
EPHA2,8,-3.9267875974652977,8.60879406204732e-05,-0.5014723924487062,0.75,-0.2507361962243531,"GSE114192,GSE153315,GSE154881,GSE181143,GSE184050,GSE185011,GSE221521,GSE280402",0.39831528752653106,protein_coding
NR3C1,8,-3.6064134354764574,0.0003104583606231584,-0.21063751505526687,0.75,-0.10531875752763344,"GSE114192,GSE153315,GSE154881,GSE181143,GSE184050,GSE185011,GSE221521,GSE280402",0.39831528752653106,protein_coding
PTTG2,8,3.5067275434719263,0.0004536533860686066,0.28327936810731824,1.0,0.28327936810731824,"GSE114192,GSE153315,GSE154881,GSE181143,GSE184050,GSE185011,GSE221521,GSE280402",0.39831528752653106,protein_coding
EIF3C,8,-3.572650597723989,0.0003533861330739807,-0.22924581535299973,0.875,-0.1719343615147498,"GSE114192,GSE153315,GSE154881,GSE181143,GSE184050,GSE185011,GSE221521,GSE280402",0.39831528752653106,protein_coding
LAS1L,8,-3.89463783079869,9.834555872495746e-05,-0.2508959982036034,1.0,-0.2508959982036034,"GSE114192,GSE153315,GSE154881,GSE181143,GSE184050,GSE185011,GSE221521,GSE280402",0.39831528752653106,protein_coding
UBALD1,8,3.57053911587922,0.000356247247466771,0.24796017070986412,0.875,0.1859701280323981,"GSE114192,GSE153315,GSE154881,GSE181143,GSE184050,GSE185011,GSE221521,GSE280402",0.39831528752653106,protein_coding
INO80B,8,3.611643369714254,0.0003042627980018592,0.15545059859069668,0.75,0.07772529929534834,"GSE114192,GSE153315,GSE154881,GSE181143,GSE184050,GSE185011,GSE221521,GSE280402",0.39831528752653106,protein_coding
KCNA5,8,-3.7984617338632303,0.0001455969018841533,-0.3511266597086867,0.75,-0.17556332985434334,"GSE114192,GSE153315,GSE154881,GSE181143,GSE184050,GSE185011,GSE221521,GSE280402",0.39831528752653106,protein_coding
CD248,8,-3.7719289712678217,0.00016199037353847417,-0.4862490886416491,0.75,-0.24312454432082456,"GSE114192,GSE153315,GSE154881,GSE181143,GSE184050,GSE185011,GSE221521,GSE280402",0.39831528752653106,protein_coding
YWHAE,8,3.4695148782649237,0.0005213991883506113,0.41608632851947264,0.75,0.20804316425973632,"GSE114192,GSE153315,GSE154881,GSE181143,GSE184050,GSE185011,GSE221521,GSE280402",0.39831528752653106,protein_coding
PIGT,8,-3.5256751563332824,0.0004224047449400231,-0.4059676352879139,1.0,-0.4059676352879139,"GSE114192,GSE153315,GSE154881,GSE181143,GSE184050,GSE185011,GSE221521,GSE280402",0.39831528752653106,protein_coding
HBD,8,3.7028650669108507,0.00021317827835901312,0.5024145734385901,0.75,0.25120728671929504,"GSE114192,GSE153315,GSE154881,GSE181143,GSE184050,GSE185011,GSE221521,GSE280402",0.39831528752653106,protein_coding
OR11H7,5,-3.4762885704525903,0.0005084049222348433,-0.1833907390324088,0.8,-0.1100344434194453,"GSE114192,GSE153315,GSE181143,GSE221521,GSE280402",0.39831528752653106,protein_coding
APP,8,-3.4985069312389157,0.0004678709285267238,-0.26256770486667785,0.875,-0.19692577865000838,"GSE114192,GSE153315,GSE154881,GSE181143,GSE184050,GSE185011,GSE221521,GSE280402",0.39831528752653106,protein_coding
TCF20,8,-3.6358154213282607,0.00027710269891135136,-0.22419076363300863,0.875,-0.16814307272475648,"GSE114192,GSE153315,GSE154881,GSE181143,GSE184050,GSE185011,GSE221521,GSE280402",0.39831528752653106,protein_coding
HECTD1,8,-3.509349611641165,0.0004492040129306531,-0.35291396656713697,0.75,-0.17645698328356849,"GSE114192,GSE153315,GSE154881,GSE181143,GSE184050,GSE185011,GSE221521,GSE280402",0.39831528752653106,protein_coding
CEP41,8,-3.7466010362238724,0.00017924682646266578,-0.34924985290984933,0.875,-0.261937389682387,"GSE114192,GSE153315,GSE154881,GSE181143,GSE184050,GSE185011,GSE221521,GSE280402",0.39831528752653106,protein_coding
GIMAP7,8,3.655620557812219,0.0002565606019932229,0.3593799856933904,0.75,0.1796899928466952,"GSE114192,GSE153315,GSE154881,GSE181143,GSE184050,GSE185011,GSE221521,GSE280402",0.39831528752653106,protein_coding
CALHM6,5,3.6653751588556656,0.0002469762681441849,0.19824991199521647,0.6,0.039649982399043285,"GSE114192,GSE154881,GSE181143,GSE221521,GSE280402",0.39831528752653106,protein_coding
ABCG1,8,-3.5357355910229393,0.0004066414767578824,-0.38858716884567984,0.75,-0.19429358442283992,"GSE114192,GSE153315,GSE154881,GSE181143,GSE184050,GSE185011,GSE221521,GSE280402",0.39831528752653106,protein_coding
BLTP2,3,-3.541301594663625,0.0003981581795192132,-0.13027352794450783,0.6666666666666666,-0.043424509314835935,"GSE114192,GSE154881,GSE280402",0.39831528752653106,protein_coding
ZBED3,8,-3.731982069460306,0.00018997902730864417,-0.345935543580061,1.0,-0.345935543580061,"GSE114192,GSE153315,GSE154881,GSE181143,GSE184050,GSE185011,GSE221521,GSE280402",0.39831528752653106,protein_coding
TPCN1,8,-3.4979416974763895,0.00046886361689246623,-0.3752873052160219,0.875,-0.2814654789120164,"GSE114192,GSE153315,GSE154881,GSE181143,GSE184050,GSE185011,GSE221521,GSE280402",0.39831528752653106,protein_coding
TM9SF4,8,-3.8405429550286008,0.00012276248819237105,-0.3777503554907176,0.875,-0.2833127666180382,"GSE114192,GSE153315,GSE154881,GSE181143,GSE184050,GSE185011,GSE221521,GSE280402",0.39831528752653106,protein_coding
SLC1A7,8,-3.678636919059364,0.000234483799537025,-0.3941600135737978,0.875,-0.29562001018034834,"GSE114192,GSE153315,GSE154881,GSE181143,GSE184050,GSE185011,GSE221521,GSE280402",0.39831528752653106,protein_coding
ARHGAP32,8,-3.468269995276402,0.0005238207165064013,-0.26566373848731006,0.75,-0.13283186924365503,"GSE114192,GSE153315,GSE154881,GSE181143,GSE184050,GSE185011,GSE221521,GSE280402",0.39831528752653106,protein_coding
SNCAIP,8,-3.4386208169836046,0.0005846855712079227,-0.16357630983324634,0.75,-0.08178815491662317,"GSE114192,GSE153315,GSE154881,GSE181143,GSE184050,GSE185011,GSE221521,GSE280402",0.41284021734165127,protein_coding
KRT1,8,3.44600540829693,0.0005689389727697439,0.3380447140882499,0.625,0.08451117852206247,"GSE114192,GSE153315,GSE154881,GSE181143,GSE184050,GSE185011,GSE221521,GSE280402",0.41284021734165127,protein_coding
PTPRS,7,-3.412498566197432,0.0006437026558443974,-0.39401734659722093,0.8571428571428571,-0.28144096185515777,"GSE114192,GSE153315,GSE154881,GSE184050,GSE185011,GSE221521,GSE280402",0.4275370532287598,protein_coding
CERS2,8,-3.4174834907391616,0.0006320292719463776,-0.3494929293203603,0.75,-0.17474646466018015,"GSE114192,GSE153315,GSE154881,GSE181143,GSE184050,GSE185011,GSE221521,GSE280402",0.4275370532287598,protein_coding
RAB31,8,-3.3883120916821436,0.0007032419641415719,-0.2532777246988826,1.0,-0.2532777246988826,"GSE114192,GSE153315,GSE154881,GSE181143,GSE184050,GSE185011,GSE221521,GSE280402",0.4346762245742743,protein_coding
SNX20,8,3.367503545782349,0.0007585205102456925,0.1270996502279631,0.75,0.06354982511398155,"GSE114192,GSE153315,GSE154881,GSE181143,GSE184050,GSE185011,GSE221521,GSE280402",0.4346762245742743,protein_coding
NFATC3,7,-3.3709689769401967,0.0007490429239762138,-0.19979434918339195,0.5714285714285714,-0.028542049883341695,"GSE114192,GSE153315,GSE154881,GSE184050,GSE185011,GSE221521,GSE280402",0.4346762245742743,protein_coding
TNFRSF21,8,-3.3711225399974563,0.0007486255008231503,-0.30676674132656234,1.0,-0.30676674132656234,"GSE114192,GSE153315,GSE154881,GSE181143,GSE184050,GSE185011,GSE221521,GSE280402",0.4346762245742743,protein_coding
SMOC1,8,-3.371545965430628,0.0007474756423950166,-0.21416100016965284,0.875,-0.16062075012723964,"GSE114192,GSE153315,GSE154881,GSE181143,GSE184050,GSE185011,GSE221521,GSE280402",0.4346762245742743,protein_coding
PLEKHB2,8,-3.293367028214045,0.0009899515476327076,-0.18462950923901272,0.75,-0.09231475461950636,"GSE114192,GSE153315,GSE154881,GSE181143,GSE184050,GSE185011,GSE221521,GSE280402",0.47848083904429095,protein_coding
SHANK1,8,-3.2894871028344213,0.0010037015631393967,-0.34893880940763206,0.625,-0.08723470235190801,"GSE114192,GSE153315,GSE154881,GSE181143,GSE184050,GSE185011,GSE221521,GSE280402",0.47848083904429095,protein_coding
AJM1,5,-3.2945850095953895,0.000985671259142579,-0.38208457073612706,1.0,-0.38208457073612706,"GSE114192,GSE154881,GSE181143,GSE221521,GSE280402",0.47848083904429095,protein_coding
PHEX,8,-3.2664706687227345,0.0010889708830479513,-0.36538579205736077,0.875,-0.27403934404302055,"GSE114192,GSE153315,GSE154881,GSE181143,GSE184050,GSE185011,GSE221521,GSE280402",0.5065764433717534,protein_coding
CCNY,8,-3.245171655765406,0.0011737984348179158,-0.2875088584478892,0.75,-0.1437544292239446,"GSE114192,GSE153315,GSE154881,GSE181143,GSE184050,GSE185011,GSE221521,GSE280402",0.5196801152766908,protein_coding
RBM15,8,-3.2435515976049976,0.0011804942707854204,-0.21115257017306494,0.75,-0.10557628508653247,"GSE114192,GSE153315,GSE154881,GSE181143,GSE184050,GSE185011,GSE221521,GSE280402",0.5196801152766908,protein_coding
PDP2,8,-3.2125313813799212,0.0013157077386034715,-0.19480624171956173,0.5,-0.0,"GSE114192,GSE153315,GSE154881,GSE181143,GSE184050,GSE185011,GSE221521,GSE280402",0.5289524154496563,protein_coding
NRP1,8,-3.225749230706087,0.0012564338983650225,-0.25966261735555174,0.75,-0.12983130867777587,"GSE114192,GSE153315,GSE154881,GSE181143,GSE184050,GSE185011,GSE221521,GSE280402",0.5289524154496563,protein_coding
EIF1B,8,3.2077598515695,0.0013377315076747083,0.18329101126843242,0.75,0.09164550563421621,"GSE114192,GSE153315,GSE154881,GSE181143,GSE184050,GSE185011,GSE221521,GSE280402",0.5289524154496563,protein_coding
