gene,motif,tf,score_frac_of_max,position,strand
EPHA2,E4F1_HUMAN.H11MO.0.D,E4F1,1.0,2022,-
EPHA2,ETV7_HUMAN.H11MO.0.D,ETV7,1.0,1175,+
EPHA2,FOXH1_HUMAN.H11MO.0.A,FOXH1,1.0,245,-
EPHA2,HMGA1_HUMAN.H11MO.0.D,HMGA1,1.0,507,+
EPHA2,MECP2_HUMAN.H11MO.0.C,MECP2,1.0,1969,-
EPHA2,NKX22_HUMAN.H11MO.0.D,NKX22,1.0,386,+
EPHA2,PATZ1_HUMAN.H11MO.1.C,PATZ1,1.0,1957,-
EPHA2,RARG_HUMAN.H11MO.1.B,RARG,1.0,561,-
EPHA2,UBIP1_HUMAN.H11MO.0.D,UBIP1,1.0,943,+
EPHA2,ATF2_HUMAN.H11MO.2.C,ATF2,0.995,2019,+
GABPB1-AS1,HAND1_HUMAN.H11MO.1.D,HAND1,1.0,2037,-
GABPB1-AS1,HMGA1_HUMAN.H11MO.0.D,HMGA1,1.0,82,-
GABPB1-AS1,HXA5_HUMAN.H11MO.0.D,HXA5,1.0,106,-
GABPB1-AS1,HXB4_HUMAN.H11MO.0.B,HXB4,1.0,76,-
GABPB1-AS1,HXB7_HUMAN.H11MO.0.C,HXB7,1.0,106,-
GABPB1-AS1,HXB8_HUMAN.H11MO.0.C,HXB8,1.0,105,-
GABPB1-AS1,HXD4_HUMAN.H11MO.0.D,HXD4,1.0,112,-
GABPB1-AS1,IKZF1_HUMAN.H11MO.0.C,IKZF1,1.0,149,-
GABPB1-AS1,MSX2_HUMAN.H11MO.0.D,MSX2,1.0,123,+
GABPB1-AS1,NFIB_HUMAN.H11MO.0.D,NFIB,1.0,1428,+
LAS1L,CDX1_HUMAN.H11MO.0.C,CDX1,1.0,1216,+
LAS1L,ETV1_HUMAN.H11MO.0.A,ETV1,1.0,1887,-
LAS1L,HAND1_HUMAN.H11MO.1.D,HAND1,1.0,435,+
LAS1L,HMGA1_HUMAN.H11MO.0.D,HMGA1,1.0,1401,+
LAS1L,HXC9_HUMAN.H11MO.0.C,HXC9,1.0,1679,-
LAS1L,NKX22_HUMAN.H11MO.0.D,NKX22,1.0,805,-
LAS1L,OVOL1_HUMAN.H11MO.0.C,OVOL1,1.0,1598,+
LAS1L,PRDM6_HUMAN.H11MO.0.C,PRDM6,1.0,686,+
LAS1L,RARG_HUMAN.H11MO.1.B,RARG,1.0,457,+
LAS1L,SOX5_HUMAN.H11MO.0.C,SOX5,1.0,510,-
LINC01160,HMGA1_HUMAN.H11MO.0.D,HMGA1,1.0,583,+
LINC01160,MAFG_HUMAN.H11MO.1.A,MAFG,1.0,1788,-
LINC01160,MAF_HUMAN.H11MO.1.B,MAF,1.0,1682,+
LINC01160,NF2L1_HUMAN.H11MO.0.C,NF2L1,1.0,1275,-
LINC01160,NFIA_HUMAN.H11MO.1.D,NFIA,1.0,1043,+
LINC01160,NKX61_HUMAN.H11MO.1.B,NKX61,1.0,1382,+
LINC01160,PRRX1_HUMAN.H11MO.0.D,PRRX1,1.0,1635,-
LINC01160,RARG_HUMAN.H11MO.1.B,RARG,1.0,831,+
LINC01160,SOX13_HUMAN.H11MO.0.D,SOX13,1.0,1135,+
LINC01160,SOX15_HUMAN.H11MO.0.D,SOX15,1.0,1135,+
