gene_symbol,gene_biotype
DDX11L2,lncRNA
DDX11L1,transcribed_unprocessed_pseudogene
WASH7P,unprocessed_pseudogene
MIR6859-1,miRNA
MIR1302-2HG,lncRNA
MIR1302-2,miRNA
FAM138A,lncRNA
OR4G4P,unprocessed_pseudogene
ENSG00000290826,lncRNA
OR4G11P,transcribed_unprocessed_pseudogene
OR4F5,protein_coding
ENSG00000238009,lncRNA
ENSG00000239945,lncRNA
CICP27,processed_pseudogene
ENSG00000268903,processed_pseudogene
ENSG00000269981,processed_pseudogene
ENSG00000239906,lncRNA
ENSG00000241860,lncRNA
RNU6-1100P,snRNA
ENSG00000241599,lncRNA
DDX11L17,unprocessed_pseudogene
WASH9P,unprocessed_pseudogene
MIR6859-2,miRNA
ENSG00000228463,transcribed_processed_pseudogene
ENSG00000286448,lncRNA
RPL23AP24,processed_pseudogene
ENSG00000236601,lncRNA
ENSG00000290385,lncRNA
WBP1LP7,processed_pseudogene
OR4F29,protein_coding
ENSG00000237094,transcribed_unprocessed_pseudogene
CICP7,processed_pseudogene
ENSG00000250575,unprocessed_pseudogene
U6,snRNA
ENSG00000230021,transcribed_processed_pseudogene
ENSG00000235146,lncRNA
MTND1P23,unprocessed_pseudogene
MTND2P28,unprocessed_pseudogene
MTCO1P12,unprocessed_pseudogene
ENSG00000278791,miRNA
MTCO2P12,unprocessed_pseudogene
MTATP8P1,unprocessed_pseudogene
MTATP6P1,unprocessed_pseudogene
MTCO3P12,unprocessed_pseudogene
WBP1LP6,processed_pseudogene
OR4F16,protein_coding
CICP3,processed_pseudogene
ENSG00000291215,lncRNA
RNU6-1199P,snRNA
ENSG00000229905,lncRNA
ENSG00000228327,transcribed_unprocessed_pseudogene
LINC01409,lncRNA
ENSG00000285268,transcribed_processed_pseudogene
ENSG00000290784,lncRNA
ENSG00000230092,transcribed_unprocessed_pseudogene
FAM87B,lncRNA
LINC00115,lncRNA
LINC01128,lncRNA
ENSG00000288531,lncRNA
FAM41C,lncRNA
TUBB8P11,unprocessed_pseudogene
ENSG00000283040,transcribed_unprocessed_pseudogene
ENSG00000272438,lncRNA
ENSG00000230699,lncRNA
ENSG00000241180,lncRNA
LINC02593,lncRNA
SAMD11,protein_coding
NOC2L,protein_coding
KLHL17,protein_coding
PLEKHN1,protein_coding
PERM1,protein_coding
ENSG00000272512,lncRNA
HES4,protein_coding
ISG15,protein_coding
ENSG00000231702,processed_pseudogene
ENSG00000224969,lncRNA
AGRN,protein_coding
ENSG00000242590,lncRNA
ENSG00000291156,lncRNA
ENSG00000273443,lncRNA
ENSG00000217801,transcribed_unprocessed_pseudogene
RNF223,protein_coding
C1orf159,protein_coding
ENSG00000285812,lncRNA
LINC01342,lncRNA
MIR200B,miRNA
MIR200A,miRNA
MIR429,miRNA
ENSG00000272141,lncRNA
TTLL10-AS1,lncRNA
TTLL10,protein_coding
TNFRSF18,protein_coding
TNFRSF4,protein_coding
SDF4,protein_coding
B3GALT6,protein_coding
C1QTNF12,protein_coding
ENSG00000260179,lncRNA
UBE2J2,protein_coding
LINC01786,lncRNA
SCNN1D,protein_coding
ACAP3,protein_coding
MIR6726,miRNA
PUSL1,protein_coding
INTS11,protein_coding
MIR6727,miRNA
ENSG00000240731,lncRNA
CPTP,protein_coding
TAS1R3,protein_coding
DVL1,protein_coding
MIR6808,miRNA
MXRA8,protein_coding
AURKAIP1,protein_coding
NDUFB4P8,processed_pseudogene
CCNL2,protein_coding
MRPL20-AS1,lncRNA
MRPL20,protein_coding
RN7SL657P,misc_RNA
MRPL20-DT,lncRNA
ANKRD65,protein_coding
ANKRD65-AS1,lncRNA
TMEM88B,protein_coding
LINC01770,lncRNA
VWA1,protein_coding
ATAD3C,protein_coding
ATAD3B,protein_coding
ENSG00000290916,lncRNA
ENSG00000284740,transcribed_unprocessed_pseudogene
ATAD3A,protein_coding
TMEM240,protein_coding
SSU72,protein_coding
ENSG00000215014,lncRNA
ENSG00000274481,processed_pseudogene
FNDC10,protein_coding
ENSG00000286989,lncRNA
ENSG00000272106,lncRNA
MIB2,protein_coding
MMP23B,protein_coding
CDK11B,protein_coding
ENSG00000272004,lncRNA
SLC35E2B,protein_coding
ENSG00000269737,transcribed_processed_pseudogene
MMP23A,unprocessed_pseudogene
CDK11A,protein_coding
ENSG00000268575,lncRNA
ENSG00000227775,transcribed_processed_pseudogene
ENSG00000290854,lncRNA
SLC35E2A,transcribed_unprocessed_pseudogene
NADK,protein_coding
GNB1,protein_coding
GNB1-DT,lncRNA
CALML6,protein_coding
TMEM52,protein_coding
CFAP74,protein_coding
ENSG00000233542,lncRNA
GABRD,protein_coding
PRKCZ-DT,lncRNA
PRKCZ,protein_coding
ENSG00000271806,lncRNA
PRKCZ-AS1,lncRNA
FAAP20,protein_coding
ENSG00000234396,lncRNA
SKI,protein_coding
ENSG00000287356,lncRNA
MORN1,protein_coding
ENSG00000272161,lncRNA
ENSG00000269896,transcribed_processed_pseudogene
ENSG00000272420,lncRNA
RER1,protein_coding
PEX10,protein_coding
PLCH2,protein_coding
ENSG00000224387,lncRNA
ENSG00000229393,lncRNA
PANK4,protein_coding
HES5,protein_coding
ENSG00000272449,lncRNA
TNFRSF14-AS1,lncRNA
TNFRSF14,protein_coding
ENSG00000225931,TEC
ENSG00000228037,lncRNA
ENSG00000289610,lncRNA
PRXL2B,protein_coding
MMEL1,protein_coding
MMEL1-AS1,lncRNA
TTC34,protein_coding
ENSG00000285945,lncRNA
ENSG00000283259,lncRNA
ENSG00000233234,lncRNA
ENSG00000287396,lncRNA
ENSG00000231630,lncRNA
ENSG00000284745,lncRNA
ACTRT2,protein_coding
PRDM16-DT,lncRNA
PRDM16,protein_coding
MIR4251,miRNA
ENSG00000226286,lncRNA
ENSG00000279839,TEC
ENSG00000272235,lncRNA
ENSG00000287828,lncRNA
ENSG00000286518,lncRNA
ARHGEF16,protein_coding
ENSG00000272088,lncRNA
MEGF6,protein_coding
MIR551A,miRNA
ENSG00000238260,lncRNA
TPRG1L,protein_coding
WRAP73,protein_coding
TP73,protein_coding
TP73-AS3,lncRNA
TP73-AS2,lncRNA
TP73-AS1,transcribed_unitary_pseudogene
ENSG00000276189,misc_RNA
CCDC27,protein_coding
SMIM1,protein_coding
LRRC47,protein_coding
RN7SL574P,misc_RNA
ENSG00000272153,lncRNA
CEP104,protein_coding
DFFB,protein_coding
C1orf174,protein_coding
LINC01134,lncRNA
LINC01346,lncRNA
LINC01345,lncRNA
LINC02780,lncRNA
ENSG00000284703,lncRNA
EEF1DP6,processed_pseudogene
LINC01777,lncRNA
ENSG00000284694,lncRNA
ENSG00000227169,lncRNA
LINC01646,lncRNA
AJAP1,protein_coding
ENSG00000287586,lncRNA
ENSG00000284739,lncRNA
LINC02781,lncRNA
LINC02782,lncRNA
ENSG00000284616,lncRNA
ENSG00000284692,lncRNA
ENSG00000284666,lncRNA
ENSG00000260972,lncRNA
ENSG00000283356,unprocessed_pseudogene
ENSG00000236948,lncRNA
ENSG00000264341,miRNA
ENSG00000289893,lncRNA
MIR4689,miRNA
NPHP4,protein_coding
KCNAB2,protein_coding
CHD5,protein_coding
ENSG00000285629,protein_coding
RPL22,protein_coding
RNF207-AS1,lncRNA
RNF207,protein_coding
ICMT,protein_coding
ICMT-DT,lncRNA
HES3,protein_coding
GPR153,protein_coding
ACOT7,protein_coding
ENSG00000271746,lncRNA
HES2,protein_coding
ESPN,protein_coding
MIR4252,miRNA
ENSG00000231868,lncRNA
TNFRSF25,protein_coding
PLEKHG5,protein_coding
NOL9,protein_coding
RNU6-731P,snRNA
ENSG00000229519,processed_pseudogene
TAS1R1,protein_coding
ZBTB48,protein_coding
KLHL21,protein_coding
PHF13,protein_coding
THAP3,protein_coding
DNAJC11,protein_coding
LINC01672,lncRNA
ENSG00000284744,lncRNA
CAMTA1-DT,lncRNA
CAMTA1,protein_coding
ENSG00000227950,processed_pseudogene
CAMTA1-AS3,lncRNA
RNU1-8P,snRNA
CAMTA1-IT1,lncRNA
CAMTA1-AS2,lncRNA
CAMTA1-AS1,lncRNA
ENSG00000270171,lncRNA
ENSG00000270035,lncRNA
ENSG00000269978,lncRNA
VAMP3,protein_coding
ENSG00000269925,lncRNA
PER3,protein_coding
ENSG00000236266,lncRNA
UTS2,protein_coding
TNFRSF9,protein_coding
ENSG00000270330,processed_pseudogene
PARK7,protein_coding
